       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
      m5k1                 x                 x                23       0.157696555                23               229      46.564122765                23                 0      45.055501056                19               114      30.877113565                23                 0       30.75114646
      m5k2                 x                 x                33       0.155704444                38              1317      54.333560426                38               623      55.348285938                25               925      36.696234772                33                 0      37.850060018
      m5k3                 x                 x                43        0.14004243                45             11222      61.041254177                44               675      61.174006057                32               149      46.247904934                43                 0       46.71347819
      m5k4                 x                 x                49       0.132738943                51             10203      69.330845724                51             37355      72.459296389                37               185      56.517538271                49                 0      57.439646535
      m5k5                 x                 x                52       0.155915366                54              8246      75.637202208                55             22513       78.48274866                40                80      66.125107549                52                 0      64.988502792
      m5k6                 x                 x                54       0.184352099                55              5474      85.356527819                56              1680       79.01303373                46               280      70.687799212                54                 0      71.086344745
      m5k7                 x                 x                54       0.206073065                58              5776      88.900544216                56              1975      85.993549821                45               468      75.319891506                54                 0      77.789810485
      m5k8                 x                 x                55       0.231909374                56             20488      88.555615598                56             21864      93.447124618                47               229      89.154598211                55                 0      89.820117887
      m5k9                 x                 x                55       0.245469832                57              1777      91.719043087                56             11114      92.894759305                49               982       95.65617242                55                 0      98.932785569
     m5k10                 x                 x                52       0.276583841                56              3106      94.814441784                57             44349      96.714445923                50              1263     103.430551822                52                 0     105.127007852
     m5k11                 x                 x                52        0.29767167                58             38468     106.331981904                56                20     105.681891464                48               323     110.309459043                52                 0     109.451832127
     m5k12                 x                 x                52       0.337762695                58                37      113.63484265                57              1673     105.339572995                50               102     116.717428762                53               214     117.258105275
     m5k13                 x                 x                51       0.365483139                58                74     115.813073186                58             10937     118.578727519                52               146      125.87660896                54               130     126.034088071
     m5k14                 x                 x                51       0.382268027                58               114     125.516286512                57               685     120.472948015                53               455     138.175787699                51                 0     139.002961904
     m5k15                 x                 x                52       0.412869448                57               164     123.342102278                58              9771     133.038423468                53               182     147.465265567                53                11     143.011780923
     m5k16                 x                 x                52       0.423413286                56                22      132.05482113                58              9417     136.033696429                52               411     158.700585499                55              1430     158.477584459
